accession,bioproject,biosample,organism_name,group,environment,intraspecific_name,assembly_level,seq_rel_date,project,ftp_path
GCA_003220615.1,PRJNA449266,SAMN08911923,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR17,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/220/615/GCA_003220615.1_ASM322061v1
GCA_003220655.1,PRJNA449266,SAMN08911922,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR16,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/220/655/GCA_003220655.1_ASM322065v1
GCA_003220675.1,PRJNA449266,SAMN08911921,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR15,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/220/675/GCA_003220675.1_ASM322067v1
GCA_003220685.1,PRJNA449266,SAMN08911920,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR14,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/220/685/GCA_003220685.1_ASM322068v1
GCA_003220725.1,PRJNA449266,SAMN08911918,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR12,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/220/725/GCA_003220725.1_ASM322072v1
GCA_003220735.1,PRJNA449266,SAMN08911916,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR10,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/220/735/GCA_003220735.1_ASM322073v1
GCA_003221435.1,PRJNA449266,SAMN08911915,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR9,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/435/GCA_003221435.1_ASM322143v1
GCA_003221455.1,PRJNA449266,SAMN08911950,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR44,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/455/GCA_003221455.1_ASM322145v1
GCA_003221475.1,PRJNA449266,SAMN08911949,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR43,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/475/GCA_003221475.1_ASM322147v1
GCA_003221495.1,PRJNA449266,SAMN08911941,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR35,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/495/GCA_003221495.1_ASM322149v1
GCA_003221515.1,PRJNA449266,SAMN08911940,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR34,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/515/GCA_003221515.1_ASM322151v1
GCA_003221555.1,PRJNA449266,SAMN08911939,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR33,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/555/GCA_003221555.1_ASM322155v1
GCA_003221575.1,PRJNA449266,SAMN08911938,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR32,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/575/GCA_003221575.1_ASM322157v1
GCA_003221595.1,PRJNA449266,SAMN08911936,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR30,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/595/GCA_003221595.1_ASM322159v1
GCA_003221615.1,PRJNA449266,SAMN08911933,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR27,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/615/GCA_003221615.1_ASM322161v1
GCA_003221635.1,PRJNA449266,SAMN08911932,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR26,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/635/GCA_003221635.1_ASM322163v1
GCA_003221675.1,PRJNA449266,SAMN08911927,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR21,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/675/GCA_003221675.1_ASM322167v1
GCA_003221715.1,PRJNA449266,SAMN08911917,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR11,Scaffold,6/12/18,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/221/715/GCA_003221715.1_ASM322171v1
GCA_005881785.1,PRJNA449266,SAMN11380359,Betaproteobacteria bacterium,Betaproteobacteria,Soil,BP_32,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/881/785/GCA_005881785.1_ASM588178v1
GCA_005882155.1,PRJNA449266,SAMN11380348,Betaproteobacteria bacterium,Betaproteobacteria,Soil,BP_21,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/882/155/GCA_005882155.1_ASM588215v1
GCA_005882425.1,PRJNA449266,SAMN11380278,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_20,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/882/425/GCA_005882425.1_ASM588242v1
GCA_005882475.1,PRJNA449266,SAMN11380269,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_11,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/882/475/GCA_005882475.1_ASM588247v1
GCA_005882865.1,PRJNA449266,SAMN11380363,Betaproteobacteria bacterium,Betaproteobacteria,Soil,BP_36,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/882/865/GCA_005882865.1_ASM588286v1
GCA_005883105.1,PRJNA449266,SAMN11380280,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_22,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/883/105/GCA_005883105.1_ASM588310v1
GCA_005883135.1,PRJNA449266,SAMN11380266,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_8,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/883/135/GCA_005883135.1_ASM588313v1
GCA_005883445.1,PRJNA449266,SAMN11380265,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_7,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/883/445/GCA_005883445.1_ASM588344v1
GCA_005884345.1,PRJNA449266,SAMN11380337,Betaproteobacteria bacterium,Betaproteobacteria,Soil,BP_10,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/345/GCA_005884345.1_ASM588434v1
GCA_005884465.1,PRJNA449266,SAMN11380261,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_3,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/465/GCA_005884465.1_ASM588446v1
GCA_005884545.1,PRJNA449266,SAMN11380283,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_25,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/545/GCA_005884545.1_ASM588454v1
GCA_005884595.1,PRJNA449266,SAMN11380264,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_6,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/595/GCA_005884595.1_ASM588459v1
GCA_005884685.1,PRJNA449266,SAMN11380287,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_29,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/685/GCA_005884685.1_ASM588468v1
GCA_005884705.1,PRJNA449266,SAMN11380285,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_27,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/705/GCA_005884705.1_ASM588470v1
GCA_005884745.1,PRJNA449266,SAMN11380274,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_16,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/745/GCA_005884745.1_ASM588474v1
GCA_005884765.1,PRJNA449266,SAMN11380275,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_17,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/765/GCA_005884765.1_ASM588476v1
GCA_005884835.1,PRJNA449266,SAMN11380268,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_10,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/835/GCA_005884835.1_ASM588483v1
GCA_005884855.1,PRJNA449266,SAMN11380272,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_14,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/884/855/GCA_005884855.1_ASM588485v1
GCA_005885285.1,PRJNA449266,SAMN11380260,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_2,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/885/285/GCA_005885285.1_ASM588528v1
GCA_005887895.1,PRJNA449266,SAMN11380672,Candidatus Rokubacteria bacterium,Candidatus Rokubacteria,Soil,AR_45,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/887/895/GCA_005887895.1_ASM588789v1
GCA_005888495.1,PRJNA449266,SAMN11380262,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_4,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/888/495/GCA_005888495.1_ASM588849v1
GCA_005888515.1,PRJNA449266,SAMN11380271,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_13,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/888/515/GCA_005888515.1_ASM588851v1
GCA_005888525.1,PRJNA449266,SAMN11380281,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_23,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/888/525/GCA_005888525.1_ASM588852v1
GCA_005888555.1,PRJNA449266,SAMN11380263,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_5,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/888/555/GCA_005888555.1_ASM588855v1
GCA_005888565.1,PRJNA449266,SAMN11380286,Alphaproteobacteria bacterium,Alphaproteobacteria,Soil,AP_28,Scaffold,5/29/19,Jill Banfield's Lab at Berkeley,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/888/565/GCA_005888565.1_ASM588856v1
GCA_000007865.1,PRJNA91,SAMN02604086,Mycobacterium avium subsp. paratuberculosis K-10,Actinobacteria,Isolate,K-10,Complete,2001-12-27T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1
GCA_000011365.1,PRJNA17,SAMD00061083,Bradyrhizobium diazoefficiens USDA 110,Alphaproteobacteria,Isolate,USDA110,Complete,2002-12-27T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/365/GCA_000011365.1_ASM1136v1
GCA_000013645.1,PRJNA254,SAMN02598451,Paraburkholderia xenovorans LB400,Betaproteobacteria,Isolate,LB400,Complete,2006-04-10T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/645/GCA_000013645.1_ASM1364v1
GCA_000014085.1,PRJNA13919,SAMN02598326,Burkholderia cenocepacia AU 1054,Betaproteobacteria,Isolate,AU 1054,Complete,2006-06-01T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/085/GCA_000014085.1_ASM1408v1
GCA_000014985.1,PRJNA88,SAMN02603981,Mycobacterium avium 104,Actinobacteria,Isolate,104,Complete,2006-11-20T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/985/GCA_000014985.1_ASM1498v1
GCA_000015165.1,PRJNA16137,SAMN02598359,Bradyrhizobium sp. BTAi1,Alphaproteobacteria,Isolate,BTAi1,Complete,2007-05-11T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/165/GCA_000015165.1_ASM1516v1
GCA_000019505.1,PRJNA17929,SAMN02598404,Burkholderia cenocepacia MC0-3,Betaproteobacteria,Isolate,MC0-3,Complete,2008-03-13T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/505/GCA_000019505.1_ASM1950v1
GCA_000023345.1,PRJNA30453,SAMN02598472,Variovorax paradoxus S110,Betaproteobacteria,Isolate,S110,Complete,2009-06-11T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/345/GCA_000023345.1_ASM2334v1
GCA_000026145.1,PRJNA19575,SAMEA3138227,Bradyrhizobium sp. ORS 278,Alphaproteobacteria,Isolate,ORS278,Complete,2007-05-01T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/145/GCA_000026145.1_ASM2614v1
GCA_000147835.3,PRJNA50015,SAMN00016829,Sphingobium chlorophenolicum L-1,Alphaproteobacteria,Isolate,L-1,Complete,2011-05-26T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/835/GCA_000147835.3_ASM14783v3
GCA_000193595.3,PRJNA46277,SAMN02470863,Bordetella pertussis B1917,Betaproteobacteria,Isolate,B1917,Complete,2014-11-13T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/595/GCA_000193595.3_ASM19359v3
GCA_000193615.3,PRJNA46279,SAMN02470864,Bordetella pertussis B1920,Betaproteobacteria,Isolate,B1920,Complete,2014-11-13T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/615/GCA_000193615.3_ASM19361v3
GCA_000195715.1,PRJNA26,SAMEA1705933,Bordetella pertussis Tohama I,Betaproteobacteria,Isolate,Tohama I,Complete,2001-11-06T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/715/GCA_000195715.1_ASM19571v1
GCA_000203875.1,PRJNA10646,SAMN02598255,Cupriavidus pinatubonensis JMP134,Betaproteobacteria,Isolate,JMP134,Complete,2005-08-10T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/875/GCA_000203875.1_ASM20387v1
GCA_000203955.1,PRJNA13918,SAMN00113327,Burkholderia cenocepacia HI2424,Betaproteobacteria,Isolate,HI2424,Complete,2006-10-25T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/955/GCA_000203955.1_ASM20395v1
GCA_000212975.1,PRJNA66287,SAMN02603647,Bordetella pertussis CS,Betaproteobacteria,Isolate,CS,Complete,2011-05-10T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/975/GCA_000212975.1_ASM21297v1
GCA_000219915.3,PRJNA67337,SAMN01940915,Advenella kashmirensis WT001,Betaproteobacteria,Isolate,WT001,Complete,2012-05-25T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/915/GCA_000219915.3_ASM21991v3
GCA_000263795.2,PRJNA84413,SAMN02471431,Hydrogenophaga sp. PBC,Betaproteobacteria,Isolate,PBC,Complete,2016-09-28T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/795/GCA_000263795.2_Hint_PBC
GCA_000283515.1,PRJNA67115,SAMD00061118,Sphingobium sp. SYK-6,Alphaproteobacteria,Isolate,SYK-6,Complete,2011-08-31T23:07:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/515/GCA_000283515.1_ASM28351v1
GCA_000284275.1,PRJDA72425,SAMD00060998,Bradyrhizobium sp. S23321,Alphaproteobacteria,Isolate,S23321,Complete,2012-03-28T23:04:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/275/GCA_000284275.1_ASM28427v1
GCA_000284375.1,PRJDA67463,SAMD00060992,Bradyrhizobium japonicum USDA 6,Alphaproteobacteria,Isolate,USDA 6,Complete,2011-10-31T23:11:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/375/GCA_000284375.1_ASM28437v1
GCA_000296215.2,PRJNA172908,SAMN02469422,Bradyrhizobium sp. CCGE-LA001,Alphaproteobacteria,Isolate,CCGE-LA001,Complete,2016-01-25T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/215/GCA_000296215.2_ASM29621v2
GCA_000344805.1,PRJDB684,SAMD00061052,Bradyrhizobium oligotrophicum S58,Alphaproteobacteria,Isolate,S58,Complete,2013-02-28T23:03:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/805/GCA_000344805.1_ASM34480v1
GCA_000390085.1,PRJNA168471,SAMN02603716,Mycobacterium avium subsp. paratuberculosis MAP4,Actinobacteria,Isolate,MAP4,Complete,2013-05-09T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/390/085/GCA_000390085.1_ASM39008v1
GCA_000463015.1,PRJNA178088,SAMN02603275,Variovorax paradoxus B4,Betaproteobacteria,Isolate,B4,Complete,2013-08-30T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/015/GCA_000463015.1_ASM46301v1
GCA_000604065.3,PRJNA242373,SAMN02693467,Pandoraea pnomenusa,Betaproteobacteria,Isolate,RB38,Complete,2014-03-28T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/065/GCA_000604065.3_ASM60406v3
GCA_000756045.1,PRJNA244540,SAMN02866417,Paraburkholderia xenovorans LB400,Betaproteobacteria,Isolate,LB400,Complete,2014-09-18T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/045/GCA_000756045.1_ASM75604v1
GCA_000767615.3,PRJNA261997,SAMN03078809,Pandoraea pnomenusa,Betaproteobacteria,Isolate,DSM 16536,Complete,2014-10-22T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/615/GCA_000767615.3_ASM76761v3
GCA_000807315.1,PRJNA270102,SAMN03262953,Bradyrhizobium japonicum,Alphaproteobacteria,Isolate,E109,Complete,2014-12-23T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/315/GCA_000807315.1_ASM80731v1
GCA_000812165.1,PRJNA221122,SAMN02360353,Bordetella pertussis 137,Betaproteobacteria,Isolate,137,Complete,2014-12-31T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/165/GCA_000812165.1_ASM81216v1
GCA_000815105.2,PRJNA270151,SAMN03263587,Pandoraea pulmonicola,Betaproteobacteria,Isolate,DSM 16583,Complete,2015-01-06T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/815/105/GCA_000815105.2_ASM81510v2
GCA_000826965.4,PRJNA271830,SAMN03278108,Pandoraea apista,Betaproteobacteria,Isolate,TF81F4,Complete,2015-01-21T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/826/965/GCA_000826965.4_ASM82696v4
GCA_000831005.1,PRJNA227392,SAMN02401947,Marinobacter salarius,Gammaproteobacteria,Isolate,R9SW1,Complete,2014-02-05T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/005/GCA_000831005.1_ASM83100v1
GCA_000835225.1,PRJNA269152,SAMN03252100,Mycobacterium avium subsp. paratuberculosis,Actinobacteria,Isolate,E1,Complete,2015-02-10T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/225/GCA_000835225.1_ASM83522v1
GCA_000835265.1,PRJNA269152,SAMN03252736,Mycobacterium avium subsp. paratuberculosis,Actinobacteria,Isolate,E93,Complete,2015-02-10T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/265/GCA_000835265.1_ASM83526v1
GCA_000943805.1,PRJNA275028,SAMN03338718,Sphingobium sp. YBL2,Alphaproteobacteria,Isolate,YBL2,Complete,2015-03-04T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/943/805/GCA_000943805.1_ASM94380v1
GCA_000959505.1,PRJNA235220,SAMN03144971,Burkholderia dolosa AU0158,Betaproteobacteria,Isolate,AU0158,Complete,2015-03-20T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/505/GCA_000959505.1_ASM95950v1
GCA_000974835.2,PRJNA281467,SAMN03486590,Burkholderia cepacia,Betaproteobacteria,Isolate,LO6,Complete,2015-04-21T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/835/GCA_000974835.2_ASM97483v2
GCA_001008165.2,PRJNA282882,SAMN03658145,Altererythrobacter atlanticus,Alphaproteobacteria,Isolate,26DY36,Complete,2015-05-15T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/008/165/GCA_001008165.2_ASM100816v2
GCA_001010785.2,PRJNA281013,SAMN03481316,Pandoraea apista,Betaproteobacteria,Isolate,TF80G25,Complete,2015-05-20T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/785/GCA_001010785.2_ASM101078v2
GCA_001013565.1,PRJEB9143,SAMEA3354379,Bordetella pertussis,Betaproteobacteria,Isolate,D420,Complete,2015-05-14T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/013/565/GCA_001013565.1_BPD420
GCA_001027265.1,PRJNA284212,SAMN03699824,Pandoraea apista,Betaproteobacteria,Isolate,AU2161,Complete,2015-06-03T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/265/GCA_001027265.1_ASM102726v1
GCA_001307525.1,PRJNA281570,SAMN03491903,Bordetella pertussis,Betaproteobacteria,Isolate,B3629,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/525/GCA_001307525.1_ASM130752v1
GCA_001307565.1,PRJNA281570,SAMN03491902,Bordetella pertussis,Betaproteobacteria,Isolate,B3621,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/565/GCA_001307565.1_ASM130756v1
GCA_001307585.1,PRJNA281570,SAMN03566780,Bordetella pertussis,Betaproteobacteria,Isolate,B1838,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/585/GCA_001307585.1_ASM130758v1
GCA_001307605.1,PRJNA281570,SAMN03566781,Bordetella pertussis,Betaproteobacteria,Isolate,B1865,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/605/GCA_001307605.1_ASM130760v1
GCA_001307625.1,PRJNA281570,SAMN03566782,Bordetella pertussis,Betaproteobacteria,Isolate,B3405,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/625/GCA_001307625.1_ASM130762v1
GCA_001307645.1,PRJNA281570,SAMN03566783,Bordetella pertussis,Betaproteobacteria,Isolate,B3582,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/645/GCA_001307645.1_ASM130764v1
GCA_001307665.1,PRJNA281570,SAMN03566784,Bordetella pertussis,Betaproteobacteria,Isolate,B3585,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/665/GCA_001307665.1_ASM130766v1
GCA_001307685.1,PRJNA281570,SAMN03566785,Bordetella pertussis,Betaproteobacteria,Isolate,B3640,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/685/GCA_001307685.1_ASM130768v1
GCA_001307705.1,PRJNA281570,SAMN03566786,Bordetella pertussis,Betaproteobacteria,Isolate,B3658,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/705/GCA_001307705.1_ASM130770v1
GCA_001307725.1,PRJNA281570,SAMN03566787,Bordetella pertussis,Betaproteobacteria,Isolate,B3913,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/725/GCA_001307725.1_ASM130772v1
GCA_001307745.1,PRJNA281570,SAMN03566788,Bordetella pertussis,Betaproteobacteria,Isolate,B3921,Complete,2015-10-07T00:00:00Z,Reference,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/745/GCA_001307745.1_ASM130774v1
