accession,name,ncbi_group,group,strain,biosample,bioproject,study,source,reference,status,size,gc,replicons,wgs,scaffolds,CDS,release_date,genbank_ftp,refseq_ftp
GCA_002412495.1,Betaproteobacteria bacterium UBA5216,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA5216,SAMN06455352,PRJna348753,aquatic river,freshwater,Parks et al. 2017 nature Micro,Scaffold,6.07136,59.6,,DHVE01,152,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/495/GCA_002412495.1_ASM241249v1,
GCA_900078315.1,Bordetella ansorpii,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,NCTC13364,SAMEA1982600,PRJEB2850,bordetella sequencing survey,human_associated,Sealey et al. 2015,Scaffold,6.15351,66.7,,FKBS01,33,5302,2016-04-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/078/315/GCA_900078315.1_7642_7_30,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/315/GCF_900078315.1_7642_7_30
GCA_900078705.1,Bordetella ansorpii,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,H050680373,SAMEA3906486,PRJEB13149,isolate,isolate,na,Contig,6.20518,67,,FKIF01,10,5413,2016-04-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/078/705/GCA_900078705.1_H050680373,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/705/GCF_900078705.1_H050680373
GCA_001676705.1,Bordetella bronchialis,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,AU3182,SAMN05257177,PRJna318508,isolate,isolate,na,Complete,5.87876,67.3,chromosome:NZ_CP016170.1/CP016170.1,,1,5084,2016-06-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/705/GCA_001676705.1_ASM167670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/705/GCF_001676705.1_ASM167670v1
GCA_001676745.1,Bordetella bronchialis,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,AU17976,SAMN05257179,PRJna318508,isolate,isolate,na,Complete,5.96692,67.3,chromosome:NZ_CP016171.1/CP016171.1,,1,5205,2016-06-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/745/GCA_001676745.1_ASM167674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/745/GCF_001676745.1_ASM167674v1
GCA_000974745.1,Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,KU1201,SAMD00027153,PRJDB3555,isolate,isolate,Yoshida et al. 2015,Contig,6.7801,66.1,,BBVB01,90,0,2015-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/745/GCA_000974745.1_ASM97474v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/745/GCF_000974745.1_ASM97474v1
GCA_002859225.1,Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,A310,SAMN06124593,PRJna287884,bordetella speies sequencing,human_associated,Weigand study,Complete,5.10951,68.3,chromosome:NZ_CP018761.1/CP018761.1,,1,4693,2018-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/225/GCA_002859225.1_ASM285922v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/225/GCF_002859225.1_ASM285922v1
GCA_003184465.1,Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,F709,SAMN06756669,PRJna287884,bordetella speies sequencing,human_associated,Weigand study,Complete,5.33693,68.1,chromosome:NZ_CP020818.1/CP020818.1,,1,4939,2018-06-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/465/GCA_003184465.1_ASM318446v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/465/GCF_003184465.1_ASM318446v1
GCA_003186205.1,Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,E001,SAMN06688239,PRJna287884,bordetella speies sequencing,human_associated,Weigand study,Complete,5.20909,68.2,chromosome:NZ_CP020650.1/CP020650.1,,1,4819,2018-06-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/186/205/GCA_003186205.1_ASM318620v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/186/205/GCF_003186205.1_ASM318620v1
GCA_003186595.1,Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,I943,SAMN06688244,PRJna287884,bordetella speies sequencing,human_associated,Weigand study,Complete,5.24237,68.2,chromosome:NZ_CP020645.1/CP020645.1,,1,4808,2018-06-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/186/595/GCA_003186595.1_ASM318659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/186/595/GCF_003186595.1_ASM318659v1
GCA_900445815.1,Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,NCTC10542,SAMEA103980420,PRJEB6403,Sanger Institute Isolates,isolate,na,Contig,5.24286,68.1,,UFUB01,6,4855,2018-08-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/445/815/GCA_900445815.1_54949_F01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/445/815/GCF_900445815.1_54949_F01
GCA_900637995.1,Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,NCTC8344,SAMEA101167918,PRJEB6403,Sanger Institute Isolates,isolate,na,Complete,5.20744,68.2,chromosome 1:NZ_LR134480.1/LR134480.1,,1,4807,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/995/GCA_900637995.1_54466_G01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/995/GCF_900637995.1_54466_G01
GCA_000662075.1,Bordetella bronchiseptica 00-P-2730,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,00-P-2730,SAMN02231541,PRJna202110,classical bordetella,human_associated,Register et al. 2015,Contig,5.83141,67.7,,JGWG01,296,5659,2014-05-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/075/GCA_000662075.1_gbb02v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/075/GCF_000662075.1_gbb02v01
GCA_000662335.1,Bordetella bronchiseptica 345,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,345,SAMN02263907,PRJna202193,classical bordetella,human_associated,Harvill et al. 2012,Contig,5.2865,68.3,,JGWJ01,79,4878,2014-05-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/335/GCA_000662335.1_gbb54v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/335/GCF_000662335.1_gbb54v01
GCA_000690355.2,Bordetella bronchiseptica B18-5 (C3),Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B18-5 (C3),SAMN02614574,PRJna237083,isolate,human_associated,Register et al. 2015,Contig,5.21802,68.2,,JGWP01,101,4756,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/355/GCA_000690355.2_gbb61v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/355/GCF_000690355.2_gbb61v01
GCA_000649165.1,Bordetella bronchiseptica CA90 BB02,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,CA90 BB02,SAMN02231449,PRJna202128,classical bordetella,human_associated,Register et al. 2015,Contig,5.12593,68.2,,JHBU01,169,4685,2014-04-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/649/165/GCA_000649165.1_gbb20v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/649/165/GCF_000649165.1_gbb20v01
GCA_000690435.1,Bordetella bronchiseptica CA90 BB1334,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,CA90 BB1334,SAMN02263909,PRJna202115,classical bordetella,human_associated,Register et al. 2015,Contig,5.26916,68.2,,JGWR01,120,4766,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/435/GCA_000690435.1_gbb07v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/435/GCF_000690435.1_gbb07v01
GCA_000690415.1,Bordetella bronchiseptica F-1,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,F-1,SAMN02231546,PRJna202163,classical bordetella,human_associated,Register et al. 2015,Contig,5.37734,68.1,,JGXA01,96,5014,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/415/GCA_000690415.1_gbh05v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/415/GCF_000690415.1_gbh05v01
GCA_000690255.1,Bordetella bronchiseptica F2,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,F2,SAMN02231450,PRJna202125,classical bordetella,human_associated,Register et al. 2015,Contig,5.38052,68,,JGXB01,164,4995,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/255/GCA_000690255.1_gbb17v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/255/GCF_000690255.1_gbb17v01
GCA_000690115.2,Bordetella bronchiseptica F4563,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,F4563,SAMN02231451,PRJna202126,classical bordetella,human_associated,Register et al. 2015,Contig,5.25758,68.2,,JGXC01,161,4816,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/115/GCA_000690115.2_gbb18v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/115/GCF_000690115.2_gbb18v01
GCA_000690135.2,Bordetella bronchiseptica GA96-01,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,GA96-01,SAMN02231542,PRJna202127,classical bordetella,human_associated,Register et al. 2015,Contig,5.28667,68.3,,JGXD01,157,4844,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/135/GCA_000690135.2_gbb19v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/135/GCF_000690135.2_gbb19v01
GCA_000690175.1,Bordetella bronchiseptica M435/02/3,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,M435/02/3,SAMN02231460,PRJna202129,classical bordetella,human_associated,Register et al. 2015,Contig,5.15777,68.2,,JGXE01,182,4731,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/175/GCA_000690175.1_gbb21v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/175/GCF_000690175.1_gbb21v01
GCA_000690455.1,Bordetella bronchiseptica MBORD591,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MBORD591,SAMN02231444,PRJna202131,classical bordetella,human_associated,Register et al. 2015,Contig,5.15113,68.2,,JGXG01,271,4700,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/455/GCA_000690455.1_gbb23v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/455/GCF_000690455.1_gbb23v01
GCA_000690315.1,Bordetella bronchiseptica MBORD635,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MBORD635,SAMN02231440,PRJna202135,classical bordetella,human_associated,Register et al. 2015,Contig,5.0925,68.3,,JGXK01,55,4698,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/315/GCA_000690315.1_gbb27v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/315/GCF_000690315.1_gbb27v01
GCA_000690615.1,Bordetella bronchiseptica MBORD678,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MBORD678,SAMN02231436,PRJna202140,classical bordetella,human_associated,Register et al. 2015,Contig,5.18479,68.2,,JHBQ01,50,4790,2014-05-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/615/GCA_000690615.1_gbb32v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/615/GCF_000690615.1_gbb32v01
GCA_000689835.1,Bordetella bronchiseptica MBORD681,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MBORD681,SAMN02231433,PRJna202141,classical bordetella,human_associated,Register et al. 2015,Contig,5.15831,68.3,,JGXP01,70,4750,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/835/GCA_000689835.1_gbb33v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/835/GCF_000689835.1_gbb33v01
GCA_000689855.1,Bordetella bronchiseptica MBORD698,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MBORD698,SAMN02231434,PRJna202142,classical bordetella,human_associated,Register et al. 2015,Contig,5.15174,68.3,,JGXQ01,52,4748,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/855/GCA_000689855.1_gbb34v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/855/GCF_000689855.1_gbb34v01
GCA_000698985.1,Bordetella bronchiseptica MBORD731,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MBORD731,SAMN02231430,PRJna202144,classical bordetella,human_associated,Register et al. 2015,Contig,5.13263,68.3,,JGXS01,52,4763,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/985/GCA_000698985.1_gbb36v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/985/GCF_000698985.1_gbb36v01
GCA_000690635.1,Bordetella bronchiseptica MBORD762,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MBORD762,SAMN02231431,PRJna202145,classical bordetella,human_associated,Register et al. 2015,Contig,5.28042,68.2,,JHBR01,63,4905,2014-05-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/690/635/GCA_000690635.1_gbb37v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/635/GCF_000690635.1_gbb37v01
GCA_000689915.1,Bordetella bronchiseptica MBORD782,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MBORD782,SAMN02231429,PRJna202146,classical bordetella,human_associated,Register et al. 2015,Contig,5.13444,68.3,,JGXT01,90,4749,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/915/GCA_000689915.1_gbb38v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/915/GCF_000689915.1_gbb38v01
GCA_000648965.1,Bordetella bronchiseptica OSU054,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,OSU054,SAMN02231293,PRJna202197,classical bordetella,human_associated,Harvill et al. 2012,Contig,5.39863,68.1,,JHBZ01,129,5036,2014-04-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/965/GCA_000648965.1_gbb58v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/965/GCF_000648965.1_gbb58v01
GCA_000689955.1,Bordetella bronchiseptica OSU095,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,OSU095,SAMN02231296,PRJna202153,classical bordetella,human_associated,Register et al. 2015,Contig,5.46004,68,,JGXY01,54,5068,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/955/GCA_000689955.1_gbb45v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/955/GCF_000689955.1_gbb45v01
GCA_000689975.1,Bordetella bronchiseptica OSU553,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,OSU553,SAMN02231294,PRJna202154,classical bordetella,human_associated,Register et al. 2015,Contig,5.68597,67.8,,JGXZ01,250,5496,2014-05-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/975/GCA_000689975.1_gbb46v01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/689/975/GCF_000689975.1_gbb46v01
GCA_002119665.1,Bordetella genomosp. 13,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,AU7206,SAMN06767129,PRJna385118,isolate,isolate,na,Complete,5.38093,67.5,chromosome:NZ_CP021111.1/CP021111.1,,1,4736,2017-05-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/119/665/GCA_002119665.1_ASM211966v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/665/GCF_002119665.1_ASM211966v1
GCA_000195715.1,Bordetella pertussis Tohama I,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,Tohama I,SAMEA1705933,PRJna26,bronchitis disease seq,human_associated,Parkhill et al. 2003,Complete,4.08619,67.7,chromosome:NC_002929.2/BX470248.1,,1,3425,2001-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/715/GCA_000195715.1_ASM19571v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/715/GCF_000195715.1_ASM19571v1
GCA_004794255.1,Bordetella pertussis Tohama I,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,Tohama I,SAMN10739864,PRJna514965,isolate,human_associated,na, Chromosome,4.08619,67.7,chromosome:NZ_CP039021.1/CP039021.1,,1,3581,2019-04-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/794/255/GCA_004794255.1_ASM479425v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/794/255/GCF_004794255.1_ASM479425v1
GCA_004794295.1,Bordetella pertussis Tohama I,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,Tohama I,SAMN10739865,PRJna514965,isolate,human_associated,na,Complete,4.08619,67.7,chromosome:NZ_CP039022.1/CP039022.1,,1,3581,2019-04-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/794/295/GCA_004794295.1_ASM479429v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/794/295/GCF_004794295.1_ASM479429v1
GCA_000518965.1,Bordetella petrii J51,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,J51,SAMN02584952,PRJna202358,DOE JGI sequencing,isolate,na,Scaffold,5.04356,68.5,,JAEP01,30,4718,2014-01-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/518/965/GCA_000518965.1_ASM51896v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/518/965/GCF_000518965.1_ASM51896v1
GCA_001704295.1,Bordetella sp. H567,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,H567,SAMN03940794,PRJna287884,bordetella speies sequencing,human_associated,Weigand study,Complete,5.53247,66.1,chromosome:NZ_CP012334.1/CP012334.1,,1,4864,2016-08-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/295/GCA_001704295.1_ASM170429v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/295/GCF_001704295.1_ASM170429v1
GCA_003058465.1,Bordetella sp. HZ20,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,HZ20,SAMN08912484,PRJna449597,isolate,isolate,na,Complete,4.22719,55.5,chromosome:NZ_CP028901.1/CP028901.1,,1,3581,2018-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/058/465/GCA_003058465.1_ASM305846v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/058/465/GCF_003058465.1_ASM305846v1
GCA_001724095.1,Bordetella sp. SCN 67-23,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,,SAMN03652436,PRJna279279,Metagenomic analysis of thiocyanate and cyanide biodegrading microbial consortia ,engineered,Kantor RS et al 2015 Env Micro,Scaffold,6.72533,67.2,,MEDQ01,187,6144,2016-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/724/095/GCA_001724095.1_ASM172409v1,
GCA_003062295.1,Bradyplant_associated algeriense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,RST91,SAMN08690532,PRJna438074,plant nodules,plant_associated,Ahnia et al. 2018,Scaffold,8.90798,62.2,,PYCN01,336,7911,2018-04-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/062/295/GCA_003062295.1_ASM306229v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/062/295/GCF_003062295.1_ASM306229v1
GCA_000472685.1,Bradyplant_associated arachidis,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,USDA 3384,SAMN02441457,PRJna165353,Genomic Encylopedia of Root Nodulating Bacteria,plant_associated,na,Scaffold,9.80027,63.6,,AXAD01,51,8795,2013-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/472/685/GCA_000472685.1_ASM47268v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/472/685/GCF_000472685.1_ASM47268v1
GCA_900116675.1,Bradyplant_associated arachidis,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,LMG 26795,SAMN05192541,PRJEB17582,DOE isolate,isolate,na,Scaffold,9.7938,63.6,,FPBQ01,98,8867,2016-11-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/675/GCA_900116675.1_IMG-taxon_2654588141_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/675/GCF_900116675.1_IMG-taxon_2654588141_annotated_assembly
GCA_004123905.1,Bradyplant_associated betae,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,Opo-243,SAMN06603674,PRJna329489,relic peas symbionts,plant_associated,Safronova et al. 2018,Contig,8.63025,63.8,,MZXW01,57,7866,2019-01-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/123/905/GCA_004123905.1_ASM412390v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/123/905/GCF_004123905.1_ASM412390v1
GCA_002108675.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMA050,SAMN06067981,PRJna355288,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.29902,63,,naEX01,188,7348,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/675/GCA_002108675.1_ASM210867v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/675/GCF_002108675.1_ASM210867v1
GCA_002108695.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMA051,SAMN06067988,PRJna355289,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.27338,63,,naEY01,173,7333,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/695/GCA_002108695.1_ASM210869v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/695/GCF_002108695.1_ASM210869v1
GCA_002108725.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMA060,SAMN06068090,PRJna355291,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.29123,63,,naFA01,204,7331,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/725/GCA_002108725.1_ASM210872v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/725/GCF_002108725.1_ASM210872v1
GCA_002108745.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMA052,SAMN06077199,PRJna355580,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.29449,62.9,,naEZ01,182,7344,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/745/GCA_002108745.1_ASM210874v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/745/GCF_002108745.1_ASM210874v1
GCA_002108755.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMA061,SAMN06077193,PRJna355572,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.26702,63,,naFB01,196,7295,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/755/GCA_002108755.1_ASM210875v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/755/GCF_002108755.1_ASM210875v1
GCA_002108775.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMA195,SAMN06077197,PRJna355578,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.27461,63,,naFI01,190,7365,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/775/GCA_002108775.1_ASM210877v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/775/GCF_002108775.1_ASM210877v1
GCA_002108805.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMAN05,SAMN06067958,PRJna355285,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.37641,63,,naFK01,178,7465,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/805/GCA_002108805.1_ASM210880v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/805/GCF_002108805.1_ASM210880v1
GCA_002108825.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMA122,SAMN06077200,PRJna355581,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.21478,63.1,,naFC01,177,7317,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/825/GCA_002108825.1_ASM210882v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/825/GCF_002108825.1_ASM210882v1
GCA_002108845.1,Bradyplant_associated canariense,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBMA182,SAMN06080266,PRJna355585,isolate from plant,plant_associated,Chekireb et al. 2017,Contig,8.21664,63,,naFF01,114,7333,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/845/GCA_002108845.1_ASM210884v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/108/845/GCF_002108845.1_ASM210884v1
