>2582580538_2582678739,ME16806DRAFT_00697
>GCA_002170615.1_MMFJICKD_00752,hypothetical
>GCA_002170615.1_MMFJICKD_00753,Choline-sulfatase
>GCA_002170615.1_MMFJICKD_00754,Alpha-ketoglutarate-dependent
>GCA_002170615.1_MMFJICKD_00755,Alpha-ketoglutarate-dependent
>GCA_002170615.1_MMFJICKD_00756,hypothetical
>GCA_002170615.1_MMFJICKD_00757,hypothetical
>GCA_002170615.1_MMFJICKD_00758,hypothetical
>GCA_002170615.1_MMFJICKD_01304,hypothetical
>GCA_002170615.1_MMFJICKD_01305,Alanine
>GCA_002170615.1_MMFJICKD_01306,hypothetical
>GCA_002170615.1_MMFJICKD_01307,Alpha-ketoglutarate-dependent
>GCA_002170615.1_MMFJICKD_01308,hypothetical
>GCA_002170615.1_MMFJICKD_01309,hypothetical
>GCA_002170615.1_MMFJICKD_01310,L-allo-threonine
>GCA_002170615.1_MMFJICKD_01677,putative
>GCA_002170615.1_MMFJICKD_01678,Formyl-CoA:oxalate
>GCA_002170615.1_MMFJICKD_01679,Short-chain-enoyl-CoA
>GCA_002170615.1_MMFJICKD_01680,Alpha-ketoglutarate-dependent
>GCA_002170615.1_MMFJICKD_01681,Alpha-ketoglutarate-dependent
>GCA_002170615.1_MMFJICKD_01682,hypothetical
>GCA_002170615.1_MMFJICKD_01683,3-hydroxyisobutyrate
>GCA_002170615.1_MMFJICKD_01684,Aldo-keto
>GCA_002188635.1_LGINAAGJ_03462,HTH-type
>GCA_002188635.1_LGINAAGJ_03463,HTH-type
>GCA_002188635.1_LGINAAGJ_03464,hypothetical
>GCA_002188635.1_LGINAAGJ_03465,Alpha-ketoglutarate-dependent
>GCA_002188635.1_LGINAAGJ_03466,hypothetical
>GCA_002188635.1_LGINAAGJ_03467,hypothetical
>GCA_002188635.1_LGINAAGJ_03468,putative
>GCA_002206625.1_PJKGBDKO_00344,hypothetical
>GCA_002206625.1_PJKGBDKO_00345,6-deoxy-6-sulfo-D-gluconate
>GCA_002206625.1_PJKGBDKO_00346,hypothetical
>GCA_002206625.1_PJKGBDKO_00347,Alpha-ketoglutarate-dependent
>GCA_002206625.1_PJKGBDKO_00348,Putative
>GCA_002206625.1_PJKGBDKO_00349,hypothetical
>GCA_002206625.1_PJKGBDKO_00350,2-alkyl-3-oxoalkanoate
>GCA_002216225.1_KPOJOMAD_00808,hypothetical
>GCA_002216225.1_KPOJOMAD_00809,hypothetical
>GCA_002216225.1_KPOJOMAD_00810,hypothetical
>GCA_002216225.1_KPOJOMAD_00811,Alpha-ketoglutarate-dependent
>GCA_002216225.1_KPOJOMAD_00812,4-hydroxybenzoate
>GCA_002216225.1_KPOJOMAD_00813,Dihydroxy-acid
>GCA_002216225.1_KPOJOMAD_00814,PCP
>GCA_002238415.1_HNPAKIDF_01803,2-dehydro-3-deoxy-D-gluconate
>GCA_002238415.1_HNPAKIDF_01804,hypothetical
>GCA_002238415.1_HNPAKIDF_01805,hypothetical
>GCA_002238415.1_HNPAKIDF_01806,Alpha-ketoglutarate-dependent
>GCA_002238415.1_HNPAKIDF_01807,Acetyl-CoA:oxalate
>GCA_002238415.1_HNPAKIDF_01808,putative
>GCA_002238415.1_HNPAKIDF_01809,hypothetical
>GCA_002238415.1_HNPAKIDF_02280,hypothetical
>GCA_002238415.1_HNPAKIDF_02281,Putative
>GCA_002238415.1_HNPAKIDF_02282,putative
>GCA_002238415.1_HNPAKIDF_02283,Alpha-ketoglutarate-dependent
>GCA_002238415.1_HNPAKIDF_02284,Phosphotriesterase
>GCA_002238415.1_HNPAKIDF_02285,hypothetical
>GCA_002238415.1_HNPAKIDF_02286,hypothetical
>GCA_002238415.1_HNPAKIDF_02293,F420-dependent
>GCA_002238415.1_HNPAKIDF_02294,Glutathione
>GCA_002238415.1_HNPAKIDF_02295,Putative
>GCA_002238415.1_HNPAKIDF_02296,Alpha-ketoglutarate-dependent
>GCA_002238415.1_HNPAKIDF_02297,Acetophenone
>GCA_002238415.1_HNPAKIDF_02298,Acetophenone
>GCA_002238415.1_HNPAKIDF_02299,putative
>GCA_002238645.1_LJHNAJCP_00745,hypothetical
>GCA_002238645.1_LJHNAJCP_00746,hypothetical
>GCA_002238645.1_LJHNAJCP_00747,hypothetical
>GCA_002238645.1_LJHNAJCP_00748,Alpha-ketoglutarate-dependent
>GCA_002238645.1_LJHNAJCP_00749,hypothetical
>GCA_002238645.1_LJHNAJCP_00750,hypothetical
>GCA_002238645.1_LJHNAJCP_00751,hypothetical
>GCA_002238645.1_LJHNAJCP_01356,IS1
>GCA_002238645.1_LJHNAJCP_01357,putative
>GCA_002238645.1_LJHNAJCP_01358,Formyl-CoA:oxalate
>GCA_002238645.1_LJHNAJCP_01359,Alpha-ketoglutarate-dependent
>GCA_002238645.1_LJHNAJCP_01360,Sulfoxide
>GCA_002238645.1_LJHNAJCP_01361,hypothetical
>GCA_002238645.1_LJHNAJCP_01362,hypothetical
>GCA_002238645.1_LJHNAJCP_03259,hypothetical
>GCA_002238645.1_LJHNAJCP_03260,Ectoine
>GCA_002238645.1_LJHNAJCP_03261,hypothetical
>GCA_002238645.1_LJHNAJCP_03263,Alpha-ketoglutarate-dependent
>GCA_002238645.1_LJHNAJCP_03264,Acetolactate
>GCA_002238645.1_LJHNAJCP_03265,Succinate
>GCA_002238645.1_LJHNAJCP_03266,Succinate
>GCA_002238725.1_LIKJACMG_03388,Ectoine
>GCA_002238725.1_LIKJACMG_03389,2-haloacrylate
>GCA_002238725.1_LIKJACMG_03390,3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA
>GCA_002238725.1_LIKJACMG_03391,Alpha-ketoglutarate-dependent
>GCA_002238725.1_LIKJACMG_03392,hypothetical
>GCA_002238725.1_LIKJACMG_03393,Adaptive-response
>GCA_002238725.1_LIKJACMG_03394,Transcriptional
>GCA_002238885.1_HHKHDJEF_00823,hypothetical
>GCA_002238885.1_HHKHDJEF_00824,hypothetical
>GCA_002238885.1_HHKHDJEF_00825,hypothetical
>GCA_002238885.1_HHKHDJEF_00826,Alpha-ketoglutarate-dependent
>GCA_002238885.1_HHKHDJEF_00827,Melamine
>GCA_002238885.1_HHKHDJEF_00828,3-beta-hydroxycholanate
>GCA_002238885.1_HHKHDJEF_00829,hypothetical
>GCA_002238885.1_HHKHDJEF_01068,ATP-dependent
>GCA_002238885.1_HHKHDJEF_01069,Trigger
>GCA_002238885.1_HHKHDJEF_01071,Pyruvate
>GCA_002238885.1_HHKHDJEF_01072,Alpha-ketoglutarate-dependent
>GCA_002238885.1_HHKHDJEF_01073,putative
>GCA_002238885.1_HHKHDJEF_01074,Heat
>GCA_002238885.1_HHKHDJEF_01075,Cinnamoyl-CoA:phenyllactate
>GCA_002239065.1_AFOGBJPM_04162,hypothetical
>GCA_002239065.1_AFOGBJPM_04163,hypothetical
>GCA_002239065.1_AFOGBJPM_04164,Carbonic
>GCA_002239065.1_AFOGBJPM_04165,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
>GCA_002239065.1_AFOGBJPM_04166,Secretory
>GCA_002239065.1_AFOGBJPM_04167,Isochorismate
>GCA_002239065.1_AFOGBJPM_04168,Phenylacetate-coenzyme
>GCA_002255195.1_IPNAOAMF_00032,hypothetical
>GCA_002255195.1_IPNAOAMF_00033,hypothetical
>GCA_002255195.1_IPNAOAMF_00034,hypothetical
>GCA_002255195.1_IPNAOAMF_00035,Alpha-ketoglutarate-dependent
>GCA_002255195.1_IPNAOAMF_00036,Alpha-ketoglutarate-dependent
>GCA_002255195.1_IPNAOAMF_00037,Alpha-ketoglutarate-dependent
>GCA_002255195.1_IPNAOAMF_00038,SsrA-binding
>GCA_002255195.1_IPNAOAMF_00039,4-hydroxy-tetrahydrodipicolinate
>GCA_002255195.1_IPNAOAMF_00040,hypothetical
>GCA_002255195.1_IPNAOAMF_00850,putative
>GCA_002255195.1_IPNAOAMF_00851,NADPH-dependent
>GCA_002255195.1_IPNAOAMF_00852,Alcohol
>GCA_002255195.1_IPNAOAMF_00853,Alpha-ketoglutarate-dependent
>GCA_002255195.1_IPNAOAMF_00854,Glyoxylate/hydroxypyruvate
>GCA_002255195.1_IPNAOAMF_00855,N-acetyldiaminopimelate
>GCA_002255195.1_IPNAOAMF_00856,DNA
>GCA_002266465.2_HODHJCFA_05281,hypothetical
>GCA_002266465.2_HODHJCFA_05282,2-dehydro-3-deoxy-D-gluconate
>GCA_002266465.2_HODHJCFA_05283,3-oxoacyl-[acyl-carrier-protein]
>GCA_002266465.2_HODHJCFA_05284,Alpha-ketoglutarate-dependent
>GCA_002266465.2_HODHJCFA_05285,hypothetical
>GCA_002266465.2_HODHJCFA_05286,hypothetical
>GCA_002266465.2_HODHJCFA_05287,hypothetical
>GCA_002280335.1_KAMAGIKK_01816,hypothetical
>GCA_002280335.1_KAMAGIKK_01817,hypothetical
>GCA_002280335.1_KAMAGIKK_01818,Mesaconyl-CoA
>GCA_002280335.1_KAMAGIKK_01819,Alpha-ketoglutarate-dependent
>GCA_002280335.1_KAMAGIKK_01820,hypothetical
>GCA_002280335.1_KAMAGIKK_01821,hypothetical
>GCA_002280335.1_KAMAGIKK_01822,Inner
>GCA_002286975.1_HIABIHMF_04766,D-amino
>GCA_002286975.1_HIABIHMF_04767,hypothetical
>GCA_002286975.1_HIABIHMF_04768,Alanine
>GCA_002286975.1_HIABIHMF_04769,Alpha-ketoglutarate-dependent
>GCA_002286975.1_HIABIHMF_04770,hypothetical
>GCA_002286975.1_HIABIHMF_04771,hypothetical
>GCA_002286975.1_HIABIHMF_04772,hypothetical
>GCA_002292845.1_HEIMEPPG_00300,D(-)-tartrate
>GCA_002292845.1_HEIMEPPG_00301,hypothetical
>GCA_002292845.1_HEIMEPPG_00302,L-aspartate
>GCA_002292845.1_HEIMEPPG_00303,Alpha-ketoglutarate-dependent
>GCA_002292845.1_HEIMEPPG_00304,Glyoxylate/hydroxypyruvate
>GCA_002292845.1_HEIMEPPG_00305,Phosphoenolpyruvate
>GCA_002292845.1_HEIMEPPG_00306,N-carbamoyl-L-amino-acid
>GCA_002311015.1_NOEMLECF_04337,Aspartate
>GCA_002311015.1_NOEMLECF_04339,tRNA
>GCA_002311015.1_NOEMLECF_04340,hypothetical
>GCA_002311015.1_NOEMLECF_04341,Alpha-ketoglutarate-dependent
>GCA_002311015.1_NOEMLECF_04342,Pca
>GCA_002311015.1_NOEMLECF_04345,hypothetical
>GCA_002311015.1_NOEMLECF_04346,hypothetical
>GCA_002331385.1_KLFCJFBD_01854,hypothetical
>GCA_002331385.1_KLFCJFBD_01855,Inner
>GCA_002331385.1_KLFCJFBD_01856,Pca
>GCA_002331385.1_KLFCJFBD_01857,Alpha-ketoglutarate-dependent
>GCA_002331385.1_KLFCJFBD_01858,hypothetical
>GCA_002331385.1_KLFCJFBD_01859,hypothetical
>GCA_002331385.1_KLFCJFBD_01860,Inner
>GCA_002337385.1_APLPKBGI_01204,PEP-dependent
>GCA_002337385.1_APLPKBGI_01205,PTS-dependent
>GCA_002337385.1_APLPKBGI_01206,hypothetical
>GCA_002337385.1_APLPKBGI_01207,Alpha-ketoglutarate-dependent
>GCA_002337385.1_APLPKBGI_01208,hypothetical
>GCA_002337385.1_APLPKBGI_01209,hypothetical
>GCA_002337385.1_APLPKBGI_01210,3'-phosphoadenosine
>GCA_002340675.1_PDAJLLEG_01895,hypothetical
>GCA_002340675.1_PDAJLLEG_01896,Cryptochrome
>GCA_002340675.1_PDAJLLEG_01897,Cryptochrome-like
>GCA_002340675.1_PDAJLLEG_01898,Alpha-ketoglutarate-dependent
>GCA_002340675.1_PDAJLLEG_01899,hypothetical
>GCA_002340675.1_PDAJLLEG_01900,Ubiquinone/menaquinone
>GCA_002340675.1_PDAJLLEG_01901,3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA
>GCA_002348385.1_FDDGJILG_01247,NAD-dependent
>GCA_002348385.1_FDDGJILG_01248,hypothetical
>GCA_002348385.1_FDDGJILG_01249,hypothetical
>GCA_002348385.1_FDDGJILG_01250,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
>GCA_002348385.1_FDDGJILG_01251,hypothetical
>GCA_002348385.1_FDDGJILG_01252,hypothetical
>GCA_002348385.1_FDDGJILG_01253,hypothetical
>GCA_002355275.1_LPJIPPGC_03388,hypothetical
>GCA_002355275.1_LPJIPPGC_03389,Virulence
>GCA_002355275.1_LPJIPPGC_03390,Aldo-keto
>GCA_002355275.1_LPJIPPGC_03391,Alpha-ketoglutarate-dependent
>GCA_002355275.1_LPJIPPGC_03392,hypothetical
>GCA_002355275.1_LPJIPPGC_03393,Decarboxylase
>GCA_002355275.1_LPJIPPGC_03394,Cytochrome
>GCA_002355335.1_DCGADDDC_03481,hypothetical
>GCA_002355335.1_DCGADDDC_03482,hypothetical
>GCA_002355335.1_DCGADDDC_03483,putative
>GCA_002355335.1_DCGADDDC_03484,Alpha-ketoglutarate-dependent
>GCA_002355335.1_DCGADDDC_03485,Ribonuclease
>GCA_002355335.1_DCGADDDC_03486,hypothetical
>GCA_002355335.1_DCGADDDC_03487,Guanosine-5'-triphosphate,3'-diphosphate
>GCA_002359555.1_IFELPGFK_01581,HTH-type
>GCA_002359555.1_IFELPGFK_01582,hypothetical
>GCA_002359555.1_IFELPGFK_01583,hypothetical
>GCA_002359555.1_IFELPGFK_01584,Alpha-ketoglutarate-dependent
>GCA_002359555.1_IFELPGFK_01585,hypothetical
>GCA_002359555.1_IFELPGFK_01586,hypothetical
>GCA_002359555.1_IFELPGFK_01587,Acetophenone
>GCA_002365775.1_LJFCNEGG_01508,hypothetical
>GCA_002365775.1_LJFCNEGG_01509,hypothetical
>GCA_002365775.1_LJFCNEGG_01510,Hydroxyacylglutathione
>GCA_002365775.1_LJFCNEGG_01511,Alpha-ketoglutarate-dependent
>GCA_002365775.1_LJFCNEGG_01512,Acetyl-coenzyme
>GCA_002365775.1_LJFCNEGG_01513,hypothetical
>GCA_002365775.1_LJFCNEGG_01514,hypothetical
>GCA_002377535.1_GMCPHMPF_00777,hypothetical
>GCA_002377535.1_GMCPHMPF_00778,Glutathione-regulated
>GCA_002377535.1_GMCPHMPF_00779,D-alanine
>GCA_002377535.1_GMCPHMPF_00780,Alpha-ketoglutarate-dependent
>GCA_002377535.1_GMCPHMPF_00781,Alpha-ketoglutarate-dependent
>GCA_002377535.1_GMCPHMPF_00782,Alpha-ketoglutarate-dependent
>GCA_002377535.1_GMCPHMPF_00783,Peptide
>GCA_002377535.1_GMCPHMPF_00784,Disulfide-bond
>GCA_002377535.1_GMCPHMPF_00785,hypothetical
>GCA_002378125.1_KMDBFFIL_00366,hypothetical
>GCA_002378125.1_KMDBFFIL_00367,Isocitrate
>GCA_002378125.1_KMDBFFIL_00368,Propionyl-CoA
>GCA_002378125.1_KMDBFFIL_00369,Alpha-ketoglutarate-dependent
>GCA_002378125.1_KMDBFFIL_00370,hypothetical
>GCA_002378125.1_KMDBFFIL_00371,N-carbamoyl-D-amino
>GCA_002378125.1_KMDBFFIL_00372,hypothetical
>GCA_002378125.1_KMDBFFIL_02209,2,3-dehydroadipyl-CoA
>GCA_002378125.1_KMDBFFIL_02210,Acetyl-coenzyme
>GCA_002378125.1_KMDBFFIL_02211,putative
>GCA_002378125.1_KMDBFFIL_02212,Alpha-ketoglutarate-dependent
>GCA_002378125.1_KMDBFFIL_02213,3-oxosteroid
>GCA_002378125.1_KMDBFFIL_02214,hypothetical
>GCA_002378125.1_KMDBFFIL_02215,hypothetical
>GCA_002378125.1_KMDBFFIL_02929,hypothetical
>GCA_002378125.1_KMDBFFIL_02930,4-hydroxybenzoate
>GCA_002378125.1_KMDBFFIL_02931,Glutamate--cysteine
>GCA_002378125.1_KMDBFFIL_02932,Alpha-ketoglutarate-dependent
>GCA_002378125.1_KMDBFFIL_02933,Bifunctional
>GCA_002378125.1_KMDBFFIL_02934,hypothetical
>GCA_002378125.1_KMDBFFIL_02935,hypothetical
>GCA_002386465.1_HGAMODDD_00829,hypothetical
>GCA_002386465.1_HGAMODDD_00830,Hydroxyacylglutathione
>GCA_002386465.1_HGAMODDD_00831,putative
>GCA_002386465.1_HGAMODDD_00832,Alpha-ketoglutarate-dependent
>GCA_002386465.1_HGAMODDD_00833,2-oxo-tetronate
>GCA_002386465.1_HGAMODDD_00834,Anaerobic
>GCA_002386465.1_HGAMODDD_00835,hypothetical
>GCA_002386465.1_HGAMODDD_02894,N-substituted
>GCA_002386465.1_HGAMODDD_02895,hypothetical
>GCA_002386465.1_HGAMODDD_02896,Acryloyl-CoA
>GCA_002386465.1_HGAMODDD_02897,Alpha-ketoglutarate-dependent
>GCA_002386465.1_HGAMODDD_02898,hypothetical
>GCA_002386465.1_HGAMODDD_02899,Long-chain-fatty-acid--CoA
>GCA_002386465.1_HGAMODDD_02900,phosphoglycerate
>GCA_002390205.1_JKJOJOGC_00276,hypothetical
>GCA_002390205.1_JKJOJOGC_00277,Caffeine
>GCA_002390205.1_JKJOJOGC_00278,Kynurenine
>GCA_002390205.1_JKJOJOGC_00279,Alpha-ketoglutarate-dependent
>GCA_002390205.1_JKJOJOGC_00280,Arginine--pyruvate
>GCA_002390205.1_JKJOJOGC_00281,FMN-dependent
>GCA_002390205.1_JKJOJOGC_00282,hypothetical
>GCA_002390245.1_OEFDADKP_03429,hypothetical
>GCA_002390245.1_OEFDADKP_03430,FMN-dependent
>GCA_002390245.1_OEFDADKP_03431,Aspartate
>GCA_002390245.1_OEFDADKP_03432,Alpha-ketoglutarate-dependent
>GCA_002390245.1_OEFDADKP_03433,hypothetical
>GCA_002390245.1_OEFDADKP_03434,hypothetical
>GCA_002390245.1_OEFDADKP_03435,Phenylacetone
>GCA_002412495.1_EDHBFPNK_00242,hypothetical
>GCA_002412495.1_EDHBFPNK_00243,D-aminoacylase
>GCA_002412495.1_EDHBFPNK_00244,NADPH
>GCA_002412495.1_EDHBFPNK_00245,Alpha-ketoglutarate-dependent
>GCA_002412495.1_EDHBFPNK_00246,hypothetical
>GCA_002412495.1_EDHBFPNK_00247,hypothetical
>GCA_002412495.1_EDHBFPNK_00248,hypothetical
>GCA_002412495.1_EDHBFPNK_00566,hypothetical
>GCA_002412495.1_EDHBFPNK_00567,hypothetical
>GCA_002412495.1_EDHBFPNK_00568,hypothetical
>GCA_002412495.1_EDHBFPNK_00569,Alpha-ketoglutarate-dependent
>GCA_002412495.1_EDHBFPNK_00570,hypothetical
>GCA_002412495.1_EDHBFPNK_00571,Gluconolactonase
>GCA_002412495.1_EDHBFPNK_00572,hypothetical
>GCA_002412495.1_EDHBFPNK_00573,hypothetical
>GCA_002412495.1_EDHBFPNK_00574,hypothetical
>GCA_002412495.1_EDHBFPNK_00575,hypothetical
>GCA_002412495.1_EDHBFPNK_00576,Alpha-ketoglutarate-dependent
>GCA_002412495.1_EDHBFPNK_00577,Glutamyl-tRNA(Gln)
>GCA_002412495.1_EDHBFPNK_00578,hypothetical
>GCA_002412495.1_EDHBFPNK_00579,hypothetical
>GCA_002412495.1_EDHBFPNK_01233,hypothetical
>GCA_002412495.1_EDHBFPNK_01234,hypothetical
>GCA_002412495.1_EDHBFPNK_01235,hypothetical
>GCA_002412495.1_EDHBFPNK_01236,Alpha-ketoglutarate-dependent
>GCA_002412495.1_EDHBFPNK_01237,hypothetical
>GCA_002412495.1_EDHBFPNK_01238,D-galactonate
>GCA_002412495.1_EDHBFPNK_01239,Nicotinate
>GCA_002412495.1_EDHBFPNK_02371,Sensor
>GCA_002412495.1_EDHBFPNK_02372,Small-conductance
>GCA_002412495.1_EDHBFPNK_02373,hypothetical
>GCA_002412495.1_EDHBFPNK_02374,Alpha-ketoglutarate-dependent
>GCA_002412495.1_EDHBFPNK_02375,hypothetical
>GCA_002412495.1_EDHBFPNK_02376,Glyoxylate/hydroxypyruvate
>GCA_002412495.1_EDHBFPNK_02377,hypothetical
>GCA_002412495.1_EDHBFPNK_05260,hypothetical
>GCA_002412495.1_EDHBFPNK_05261,hypothetical
>GCA_002412495.1_EDHBFPNK_05262,hypothetical
>GCA_002412495.1_EDHBFPNK_05263,Alpha-ketoglutarate-dependent
>GCA_002412495.1_EDHBFPNK_05264,hypothetical
>GCA_002412495.1_EDHBFPNK_05265,hypothetical
>GCA_002412495.1_EDHBFPNK_05266,hypothetical
>GCA_002422345.1_GAJOALCF_00717,30S
>GCA_002422345.1_GAJOALCF_00718,Octaprenyl
>GCA_002422345.1_GAJOALCF_00719,hypothetical
>GCA_002422345.1_GAJOALCF_00720,Alpha-ketoglutarate-dependent
>GCA_002422345.1_GAJOALCF_00721,putative
>GCA_002422345.1_GAJOALCF_00722,hypothetical
>GCA_002422345.1_GAJOALCF_00723,Sulfur
>GCA_002422345.1_GAJOALCF_00859,Coenzyme
>GCA_002422345.1_GAJOALCF_00860,hypothetical
>GCA_002422345.1_GAJOALCF_00861,hypothetical
>GCA_002422345.1_GAJOALCF_00862,Alpha-ketoglutarate-dependent
>GCA_002422345.1_GAJOALCF_00863,hypothetical
>GCA_002422345.1_GAJOALCF_00864,hypothetical
>GCA_002422345.1_GAJOALCF_00865,hypothetical
>GCA_002422345.1_GAJOALCF_01140,hypothetical
>GCA_002422345.1_GAJOALCF_01141,C4-dicarboxylate
>GCA_002422345.1_GAJOALCF_01142,hypothetical
>GCA_002422345.1_GAJOALCF_01143,Alpha-ketoglutarate-dependent
>GCA_002422345.1_GAJOALCF_01144,hypothetical
>GCA_002422345.1_GAJOALCF_01145,ISAs1
>GCA_002422345.1_GAJOALCF_01147,hypothetical
>GCA_002422345.1_GAJOALCF_01451,Elongation
>GCA_002422345.1_GAJOALCF_01452,hypothetical
>GCA_002422345.1_GAJOALCF_01453,hypothetical
>GCA_002422345.1_GAJOALCF_01454,Alpha-ketoglutarate-dependent
>GCA_002422345.1_GAJOALCF_01455,Alpha-ketoglutarate-dependent
>GCA_002422345.1_GAJOALCF_01456,Alpha-ketoglutarate-dependent
>GCA_002422345.1_GAJOALCF_01457,Vitamin
>GCA_002422345.1_GAJOALCF_01458,hypothetical
>GCA_002422345.1_GAJOALCF_01459,hypothetical
>GCA_002422345.1_GAJOALCF_01820,hypothetical
>GCA_002422345.1_GAJOALCF_01821,hypothetical
>GCA_002422345.1_GAJOALCF_01822,hypothetical
>GCA_002422345.1_GAJOALCF_01823,Alpha-ketoglutarate-dependent
>GCA_002422345.1_GAJOALCF_01824,hypothetical
>GCA_002422345.1_GAJOALCF_01825,Chloronitrobenzene
>GCA_002422345.1_GAJOALCF_01826,hypothetical
>GCA_002422345.1_GAJOALCF_02531,FMN-dependent
>GCA_002422345.1_GAJOALCF_02532,HTH-type
>GCA_002422345.1_GAJOALCF_02533,Methylthioribulose-1-phosphate
>GCA_002422345.1_GAJOALCF_02534,Alpha-ketoglutarate-dependent
>GCA_002422345.1_GAJOALCF_02535,Penicillin-binding
>GCA_002422345.1_GAJOALCF_02536,Ribosomal
>GCA_002422345.1_GAJOALCF_02537,Glucokinase
>GCA_002433075.1_EILOOOGM_03458,hypothetical
>GCA_002433075.1_EILOOOGM_03459,hypothetical
>GCA_002433075.1_EILOOOGM_03460,hypothetical
>GCA_002433075.1_EILOOOGM_03461,Alpha-ketoglutarate-dependent
>GCA_002433075.1_EILOOOGM_03462,hypothetical
>GCA_002433075.1_EILOOOGM_03463,hypothetical
>GCA_002433075.1_EILOOOGM_03464,hypothetical
>GCA_002433205.1_MAEFNAIE_00810,L-carnitine
>GCA_002433205.1_MAEFNAIE_00811,N-succinyl-L-Arg/Lys
>GCA_002433205.1_MAEFNAIE_00812,Na(+)/H(+)
>GCA_002433205.1_MAEFNAIE_00813,Alpha-ketoglutarate-dependent
>GCA_002433205.1_MAEFNAIE_00815,Low
>GCA_002433205.1_MAEFNAIE_00816,hypothetical
>GCA_002433205.1_MAEFNAIE_00817,Ribosomal
>GCA_002433335.1_DNLIOJNN_01932,hypothetical
>GCA_002433335.1_DNLIOJNN_01933,hypothetical
>GCA_002433335.1_DNLIOJNN_01934,Octopine
>GCA_002433335.1_DNLIOJNN_01935,Alpha-ketoglutarate-dependent
>GCA_002433335.1_DNLIOJNN_01936,hypothetical
>GCA_002433335.1_DNLIOJNN_01937,Outer
>GCA_002433335.1_DNLIOJNN_01938,Deaminated
>GCA_002433405.1_ABJDFIEN_01815,hypothetical
>GCA_002433405.1_ABJDFIEN_01816,Limonene
>GCA_002433405.1_ABJDFIEN_01817,Acetolactate
>GCA_002433405.1_ABJDFIEN_01818,Alpha-ketoglutarate-dependent
>GCA_002433405.1_ABJDFIEN_01819,hypothetical
>GCA_002433405.1_ABJDFIEN_01820,Ferredoxin
>GCA_002433405.1_ABJDFIEN_01821,Cysteine
>GCA_002434595.1_GNGHIIMM_00431,hypothetical
>GCA_002434595.1_GNGHIIMM_00432,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase
>GCA_002434595.1_GNGHIIMM_00433,hypothetical
>GCA_002434595.1_GNGHIIMM_00434,Alpha-ketoglutarate-dependent
>GCA_002434595.1_GNGHIIMM_00435,hypothetical
>GCA_002434595.1_GNGHIIMM_00436,hypothetical
>GCA_002434595.1_GNGHIIMM_00437,hypothetical
>GCA_002434595.1_GNGHIIMM_02111,Homoserine
>GCA_002434595.1_GNGHIIMM_02112,2-amino-5-chloromuconic
>GCA_002434595.1_GNGHIIMM_02113,putative
>GCA_002434595.1_GNGHIIMM_02114,Alpha-ketoglutarate-dependent
>GCA_002434595.1_GNGHIIMM_02115,hypothetical
>GCA_002434595.1_GNGHIIMM_02116,hypothetical
>GCA_002434595.1_GNGHIIMM_02117,Alcohol
>GCA_002434595.1_GNGHIIMM_02806,Glutathione
>GCA_002434595.1_GNGHIIMM_02807,hypothetical
>GCA_002434595.1_GNGHIIMM_02808,hypothetical
>GCA_002434595.1_GNGHIIMM_02809,Alpha-ketoglutarate-dependent
>GCA_002434595.1_GNGHIIMM_02810,hypothetical
>GCA_002434595.1_GNGHIIMM_02811,hypothetical
>GCA_002434595.1_GNGHIIMM_02812,hypothetical
>GCA_002450295.1_AKFOJBEN_01333,hypothetical
>GCA_002450295.1_AKFOJBEN_01334,hypothetical
>GCA_002450295.1_AKFOJBEN_01335,Inositol
>GCA_002450295.1_AKFOJBEN_01336,Alpha-ketoglutarate-dependent
>GCA_002450295.1_AKFOJBEN_01337,Sialic
>GCA_002450295.1_AKFOJBEN_01338,hypothetical
>GCA_002450295.1_AKFOJBEN_01339,Solute-binding
>GCA_002450755.1_GOLKMEJK_01931,hypothetical
>GCA_002450755.1_GOLKMEJK_01932,Formamidopyrimidine-DNA
>GCA_002450755.1_GOLKMEJK_01933,Isoleucine--tRNA
>GCA_002450755.1_GOLKMEJK_01934,Alpha-ketoglutarate-dependent
>GCA_002450755.1_GOLKMEJK_01935,Coenzyme
>GCA_002450755.1_GOLKMEJK_01936,Bifunctional
>GCA_002450755.1_GOLKMEJK_01937,Putative
>GCA_002469795.1_NNPJDJED_00303,hypothetical
>GCA_002469795.1_NNPJDJED_00304,hypothetical
>GCA_002469795.1_NNPJDJED_00305,hypothetical
>GCA_002469795.1_NNPJDJED_00306,Alpha-ketoglutarate-dependent
>GCA_002469795.1_NNPJDJED_00308,Flagellin
>GCA_002469795.1_NNPJDJED_00309,hypothetical
>GCA_002469795.1_NNPJDJED_00310,S-methyl-5'-thioadenosine
>GCA_002471325.1_OGJKKEBK_00386,Aldo-keto
>GCA_002471325.1_OGJKKEBK_00387,3-hydroxyisobutyrate
>GCA_002471325.1_OGJKKEBK_00388,hypothetical
>GCA_002471325.1_OGJKKEBK_00389,Alpha-ketoglutarate-dependent
>GCA_002471325.1_OGJKKEBK_00390,Alpha-ketoglutarate-dependent
